STORE,Urban_Rural,Market_Name,ST,Population,Asian_Pop,African_American_Pop,Hispanic_Pop,House_Holds,Median_Age,Median_Income,Median_Housing_Value,Total_Older_Vehicles,Total_Vehicles
143,U,Sacramento-Stockton,CA,14756,1070,716,7793,4269,33.227976,50935.42166,209372.554,10973.08998,13391.79504
144,U,Sacramento-Stockton,CA,25617,2247,3677,11846,7985,33.783933,50116.01429,230604.4128,16138.5963,20181.61099
145,U,Los Angeles,CA,16085,804,822,14895,4041,31.955748,47327.70047,318266.4556,13044.92292,17303.13458
146,U,Bakersfield,CA,38664,2148,945,10804,11805,32.848797,85626.20756,304956.9838,19668,30367
147,U,San Francisco-Oakland-San Jose,CA,53195,14479,1725,27384,17061,33.537236,72860.23952,520479.4931,32595.32538,42630.76552
148,U,San Francisco-Oakland-San Jose,CA,49255,1813,580,11868,18821,43.080154,120149.4322,611042.9579,29658,41396
149,U,San Francisco-Oakland-San Jose,CA,32358,1361,633,9352,12704,36.118017,79192.82338,394343.5024,20392.97462,28210.83611
149,U,San Francisco-Oakland-San Jose,CA,32358,1361,633,9352,12704,36.118017,79192.82338,394343.5024,20392.97462,28210.83611
15,U,Fresno-Visalia,CA,61539,1860,3108,35920,20467,33.055867,50822.60271,198981.0565,36499,50182
150,R,Reno,CA,13497,233,248,1765,5470,37.192968,58244.17819,190060.9088,9971,
151,U,Los Angeles,CA,25744,3266,2275,15548,8528,33.980027,63820.82629,341938.611,16723.88971,23455.72838
152,U,Los Angeles,CA,28299,3722,925,19866,9572,34.504134,35181.61009,524950.1598,16385,22643
153,U,Sacramento-Stockton,CA,23469,1086,429,13923,7034,33.754416,65398.57433,280302.3969,15918.00285,20679.85526
154,U,Sacramento-Stockton,CA,42541,15398,5078,9539,12343,34.345751,75181.98435,321864.0266,26821.7553,35804.55491
155,U,Los Angeles,CA,24222,2216,856,14997,7684,36.40888,68534.50656,431391.52,14970,21078
156,U,Sacramento-Stockton,CA,42837,5472,3240,6751,12900,33.349943,74369.69389,300213.9409,25774,34475
157,U,Santa Barbara-Santa Maria-San Luis Obispo,CA,8302,121,219,4007,3353,33.957612,52186.00542,476954.6439,7723.06491,9932.626588
157,U,Santa Barbara-Santa Maria-San Luis Obispo,CA,8302,121,219,4007,3353,33.957612,52186.00542,476954.6439,7723.06491,9932.626588
158,U,San Diego,CA,37535,5518,5235,12209,12250,30.217325,44207.11651,433119.9031,22638,28851
158,U,San Diego,CA,37535,5518,5235,12209,12250,30.217325,44207.11651,433119.9031,22638,28851
159,U,San Francisco-Oakland-San Jose,CA,39863,8375,6788,17479,11474,38.661297,76230.80624,379996.8218,28290.90596,36952.23024
16,U,San Diego,CA,20083,1291,1814,4719,8173,35.86386,56258.72922,454098.6936,13856,17870
160,U,San Francisco-Oakland-San Jose,CA,21133,1459,4068,8805,6858,36.586353,60207.41504,247898.0959,13615.85732,17332.40197
161,U,Salinas-Monterrey,CA,24079,1070,418,6899,11141,35.619179,87246.93729,738195.6733,15045.33254,19742.0551
162,U,Los Angeles,CA,39765,4150,6428,21387,10604,32.814609,75198.62553,410640.6044,21476.52295,
163,U,Sacramento-Stockton,CA,30651,2719,1018,13647,10010,35.380898,79589.23037,326108.9183,20213,27793
164,U,Fresno-Visalia,CA,43867,7690,1059,13289,13657,33.650441,72975.65095,281113.287,23065.93908,33117.94344
165,U,Los Angeles,CA,28024,5223,338,20747,7195,37.540319,51054.98669,408814.9767,16003.12309,22612.11912
166,U,Sacramento-Stockton,CA,21315,892,1399,16565,5862,33.202923,29013.55857,153143.8857,19270,22059
167,U,Los Angeles,CA,1,5865,213,3552,9832,44.262191,99688.69916,615212.1385,14519.28222,21638.47604
168,U,San Diego,CA,18358,1287,971,3549,8591,38.137319,74910.48644,428103.4637,11677.05445,16677.89724
168,U,San Diego,CA,18358,1287,971,3549,8591,38.137319,74910.48644,428103.4637,11677.05445,16677.89724
169,U,San Diego,CA,17711,1117,426,2921,7207,45.935091,96008.36875,572695.7106,9345.705238,14299.23221
17,U,San Diego,CA,44541,1452,1394,33849,12438,36.186525,44314.99996,328722.8903,38443.06562,47890.17171
170,R,Fresno-Visalia,CA,10249,44,33,8996,2604,31.074944,30042.08411,156888.1901,7140,8723
171,U,Sacramento-Stockton,CA,18866,507,366,5594,6170,37.051707,71796.87491,324880.5264,12692.68164,17221.83907
172,U,Los Angeles,CA,47733,8120,1089,17406,16835,36.52943,83705.44116,567274.5526,24417,36193
173,U,Sacramento-Stockton,CA,31399,1700,1842,3911,13535,41.417083,64975.05542,369581.2163,20326.43282,26436.00594
174,U,San Francisco-Oakland-San Jose,CA,49268,6599,916,18086,16318,39.148272,131305.4134,815485.7859,31319.32159,
175,U,Los Angeles,CA,14838,2856,1165,,5239,33.858054,71553.38388,295894.9529,6815,10542
176,U,Los Angeles,CA,44145,10968,992,22534,11132,36.453865,50874.33406,430137.8923,24688.17549,33213.56366
177,U,San Francisco-Oakland-San Jose,CA,55011,26347,2899,20285,15811,41.290028,86360.94148,711940.2866,25411,35782
178,U,Los Angeles,CA,28484,192,98,29125,7365,32.961593,28259.32274,375936.8728,16138.38734,20598.44896
179,U,Los Angeles,CA,33645,1144,1992,19928,9209,31.890468,52148.73289,231671.6578,23598.42482,31583.94386
18,R,Los Angeles,CA,36203,697,1004,6955,14800,40.708831,40344.84101,155148.6456,25234.99186,32448.34961
180,U,San Diego,CA,8956,287,285,4294,3077,35.138812,66031.15989,449089.6529,7625,9686
181,U,Santa Barbara-Santa Maria-San Luis Obispo,CA,21271,489,311,3720,8011,37.385642,75049.94866,423222.5788,15181.84086,19657.93681
181,U,Santa Barbara-Santa Maria-San Luis Obispo,CA,21271,489,311,3720,8011,37.385642,75049.94866,423222.5788,15181.84086,19657.93681
182,R,Fresno-Visalia,CA,16321,198,252,13171,3428,26.500153,15040.45101,132376.0519,14224.9958,16352.94057
183,U,San Francisco-Oakland-San Jose,CA,1,10777,2183,27712,31751,37.46879,96993.18241,1091414.355,30116,40675
184,U,Los Angeles,CA,14987,1277,250,4165,4956,34.611597,-12,631618.796,7560,10990
184,U,Los Angeles,CA,14987,1277,250,4165,4956,34.611597,-12,631618.796,7560,10990
185,U,San Francisco-Oakland-San Jose,CA,62916,25345,1613,6714,23262,37.961471,127581.9673,826356.6532,30644.82486,48452.41499
186,U,San Francisco-Oakland-San Jose,CA,37512,11478,1423,15738,11020,40.122004,-12,667500.7249,21899,30465
186,U,San Francisco-Oakland-San Jose,CA,37512,11478,1423,15738,11020,40.122004,-12,667500.7249,21899,30465
187,U,Los Angeles,CA,32695,174,5538,27411,7554,31.065927,-12,308795.3772,19837,24626
187,U,Los Angeles,CA,32695,174,5538,27411,7554,31.065927,-12,308795.3772,19837,24626
188,R,Chico-Redding,CA,10700,305,141,5734,3901,34.523551,35710.27963,206075.4301,11005,13113
189,U,San Francisco-Oakland-San Jose,CA,26324,3892,689,13810,8633,36.823085,84035.32689,688545.1316,13778.13356,18235.33032
19,U,Los Angeles,CA,40663,1109,659,13530,14583,36.882793,59210.57878,257111.423,25969.88382,35824.9602
190,U,San Francisco-Oakland-San Jose,CA,45533,16036,2118,16520,13785,38.244873,101180.9084,655438.0418,25107,34769
191,U,San Francisco-Oakland-San Jose,CA,47857,5356,2287,19637,17302,36.239198,71170.49667,433400.9237,26743,35488
192,U,Los Angeles,CA,19029,4661,152,12793,4015,38.384576,51768.62494,392960.2984,10549,13615
193,U,Los Angeles,CA,32646,2005,791,15957,10154,35.546199,83771.17923,501513.8145,18054,25136
194,U,San Diego,CA,27611,2606,1977,,9068,32.649122,85065.60947,486139.4987,11510,17356
194,U,San Diego,CA,27611,2606,1977,,9068,32.649122,85065.60947,486139.4987,11510,17356
195,U,San Diego,CA,21603,1145,788,9179,6992,37.068829,70039.01579,430275.5237,13247,18429
