Location
"     LAT:34.272216,LON:-118.775783    "
"     LAT:34.018439,LON:-118.111172    "
"     LAT:36.226371,LON:-119.327979    "
"     LAT:38.762385,LON:-120.579737    "
"     LAT:34.042514,LON:-117.948994    "
"     LAT:34.122089,LON:-117.592415    "
"     LAT:40.521384,LON:-122.38383    "
"     LAT:33.187006,LON:-117.225085    "
"     LAT:34.262645,LON:-119.235414    "
"     LAT:33.877424,LON:-117.584598    "
"     LAT:34.972318,LON:-120.435454    "
"     LAT:37.521259,LON:-120.874086    "
"     LAT:34.002272,LON:-118.086889    "
"     LAT:32.55341615,LON:-116.93832346    "
"     LAT:33.697053,LON:-117.80012    "
"     LAT:33.917475,LON:-118.030171    "
"     LAT:38.559995,LON:-121.48722    "
"     LAT:38.290169,LON:-121.308759    "
"     LAT:36.416136,LON:-121.319904    "
"     LAT:37.649623,LON:-122.489767    "
"     LAT:37.912362,LON:-122.308913    "
"     LAT:38.713847,LON:-121.394677    "
"     LAT:37.971236,LON:-122.532081    "
"     LAT:37.927543,LON:-121.691809    "
"     LAT:38.52679,LON:-122.788834    "
"     LAT:37.961063,LON:-122.511407    "
"     LAT:33.935738,LON:-118.213716    "
"     LAT:39.361993,LON:-121.686363    "
"     LAT:33.859077,LON:-117.940063    "
"     LAT:40.79216,LON:-124.178782    "
"     LAT:36.679293,LON:-121.60525    "
"     LAT:40.934431,LON:-124.100356    "
"     LAT:39.928506,LON:-122.19843    "
"     LAT:37.498659,LON:-122.250637    "
"     LAT:39.767419,LON:-121.612912    "
"     LAT:38.459416,LON:-121.823005    "
"     LAT:38.427163,LON:-122.740997    "
"     LAT:37.249782,LON:-121.878312    "
"     LAT:34.471971,LON:-117.20626    "
"     LAT:37.780885,LON:-122.460762    "
"     LAT:37.392848,LON:-122.097114    "
"     LAT:37.114091,LON:-121.643143    "
"     LAT:34.145787,LON:-118.112089    "
"     LAT:37.732177,LON:-120.951126    "
"     LAT:33.798813,LON:-118.308363    "
"     LAT:34.086336,LON:-118.309424    "
"     LAT:33.897724,LON:-118.326957    "
"     LAT:33.916119,LON:-117.454881    "
"     LAT:38.07479147,LON:-120.54559929    "
"     LAT:38.237665,LON:-122.637015    "
"     LAT:38.920595,LON:-119.994254    "
"     LAT:36.796431,LON:-119.790829    "
"     LAT:36.611989,LON:-121.843534    "
"     LAT:37.934755,LON:-122.34812    "
"     LAT:37.798037,LON:-121.210665    "
"     LAT:34.034434,LON:-117.74987    "
"     LAT:37.631072,LON:-122.077316    "
"     LAT:38.003621,LON:-122.315881    "
"     LAT:40.58419,LON:-124.147229    "
"     LAT:36.313824,LON:-119.314602    "
"     LAT:38.106467,LON:-122.220976    "
"     LAT:38.002616,LON:-121.806301    "
"     LAT:37.651021,LON:-122.11014    "
"     LAT:34.661515,LON:-120.462453    "
"     LAT:37.668279,LON:-122.081643    "
"     LAT:37.32444,LON:-121.823906    "
"     LAT:38.129307,LON:-121.278714    "
"     LAT:37.702957,LON:-121.934517    "
"     LAT:37.474586,LON:-122.218678    "
"     LAT:37.686007,LON:-122.12951    "
"     LAT:38.122394,LON:-122.254538    "
"     LAT:37.291718,LON:-121.994584    "
"     LAT:37.543276,LON:-122.304802    "
"     LAT:37.94745,LON:-122.331316    "
"     LAT:38.677992,LON:-121.382161    "
"     LAT:37.548699,LON:-122.044384    "
"     LAT:37.33187,LON:-121.910389    "
"     LAT:38.744645,LON:-121.27341    "
"     LAT:37.740929,LON:-121.435163    "
"     LAT:38.65698,LON:-120.969445    "
"     LAT:34.259923,LON:-118.314275    "
"     LAT:38.458957,LON:-122.716404    "
